Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
Adarsh homes Dwarka mor,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹41.0 L,,₹6.12 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹23.0 L,,₹5.75 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹30.0 L,,₹5.36 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹30.0 L,,₹5.36 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹41.0 L,,₹6.12 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹59.0 L,,₹6.41 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Flat for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹62.0 L,,₹6.74 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹59.0 L,,₹6.41 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹45.0 L,,₹5.0 K/sq.ft,East,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹60.0 L,,₹4.78 K/sq.ft,West,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹60.0 L,,₹6.52 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹30.0 L,,₹5.36 K/sq.ft,,None sq.ft,
